product_code,name,vendor_code,color,purchase_price,cup_type,price,photo,sizes,stock
Н38,"Махрові жіночі шкарпетки ""Олені-ялинки"", р.36-40",,різні кольори,11,,25,,"1, 1, 1, 1, 1, 1",8
Н39,"Короткі жіночі шкарпетки, р.36-42, різнокольорові",#016ж,різні кольори,5.5,,17,,1,3
Н40,"Махрові дитячі шкарпетки ""Мішутка"", р.16-22, 22-28, 28-34, різнокольорові",---,різні кольори,10.8,,23,,"1, 1, 1, 1, 1, 1, 1, 1",10
Н41,"Жіночі шкарпетки ""Наталі"", р.37-42, різнокольоровий",---,різні кольори,5.8,,18,,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",27
Н42,"Білі чоловічі шкарпетки ""Укорочені"" р.27, р.29",---,білий,7.5,,20,,"27, 27, 27, 29, 29",7
Н43,"Бежеві чоловічі шкарпетки гладкі ""Класик"" р.29",---,бежевий,7.5,,20,,"29, 29, 29, 29",6
Н44,"Темно-сірі чоловічі шкарпетки ""Класик"" р.27",---,темно-серый,7.5,,20,,"27, 27, 27",5
Н45,"Світло-сірі чоловічі шкарпетки ""Класик"" р.29",---,серый,7.5,,20,,"29, 29, 29",5
Н46,"Чорні чоловічі шкарпетки гладкі ""Класик"" р.25, 27, 29, 31",---,чорний,7.5,,20,,"25, 25, 27, 29, 31, 31, 31, 31",10
Н47,"Чорні чоловічі махрові шкарпетки ""Класик"" р.25, 27, 29, 31",---,чорний,11.7,,25,,"25, 25, 25, 25, 27, 29, 29, 29, 31, 31",12
Н48,"Чорні чоловічі махрові шкарпетки ""Елегант"" р.27, 31",---,чорний,11.7,,25,,"27, 27, 27, 27, 31, 31, 31",9
Н49,"Чорні чоловічі шкарпетки сітка ""Класик"" р.25, 27, 29",---,чорний,6.5,,20,,"25, 25, 25, 25, 27, 27, 27",9
Н50,"Сірі чоловічі шкарпетки сітка ""Класик"" р.27",---,серый,6.5,,20,,"27, 27",4
Н51,"Чорні чоловічі шкарпетки ""Спорт"" р.25, 29, 31",---,чорний,7.5,,20,,"25, 25, 25",5
